City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
156,tapes,BR,-30.6733,-51.3958,50.14,82,32,8.95,scattered clouds
157,fortuna,US,40.5982,-124.1573,60.98,80,75,18.41,broken clouds
158,masterton,NZ,-40.9597,175.6575,55.89,74,38,23.62,light rain
159,ilo,PE,-17.6394,-71.3375,60.37,84,3,3.38,clear sky
160,halifax,CA,44.6453,-63.5724,71.49,68,94,11.5,overcast clouds
161,nikolskoye,RU,59.7035,30.7861,57.09,94,89,2.68,overcast clouds
162,itarema,BR,-2.9248,-39.9167,76.68,83,39,8.79,scattered clouds
163,herat,AF,34.5,62.0,69.49,40,0,7.14,clear sky
164,haines junction,CA,60.7522,-137.5108,62.55,36,100,6.91,overcast clouds
165,lata,PT,40.1629,-8.3327,67.08,75,1,1.72,clear sky
166,chuy,UY,-33.6971,-53.4616,47.21,93,2,6.6,clear sky
167,bereznik,RU,62.8551,42.7072,50.23,70,73,6.22,broken clouds
168,torbay,CA,47.6666,-52.7314,65.17,68,20,10.36,few clouds
169,mehran,IR,33.1222,46.1646,90.84,14,0,7.11,clear sky
170,walvis bay,NA,-22.9575,14.5053,61.09,58,0,3.44,clear sky
171,yarim,YE,14.298,44.3779,62.15,45,100,1.74,overcast clouds
172,okha,RU,53.5739,142.9478,61.93,59,47,10.45,scattered clouds
173,gunjur,GM,13.2019,-16.7339,78.87,83,40,6.91,scattered clouds
174,hamilton,US,39.1834,-84.5333,83.25,73,0,9.22,clear sky
175,belmonte,BR,-15.8631,-38.8828,73.81,81,77,5.23,broken clouds
176,komsomolskiy,UZ,40.4272,71.7189,70.52,56,52,4.61,broken clouds
177,bathsheba,BB,13.2167,-59.5167,83.01,78,40,23.02,scattered clouds
178,olafsvik,IS,64.8945,-23.7142,47.35,82,100,7.45,moderate rain
179,washington,US,47.5001,-120.5015,60.93,62,100,6.49,overcast clouds
180,butaritari,KI,3.0707,172.7902,82.56,67,14,14.41,few clouds
181,naze,JP,28.3667,129.4833,72.52,91,100,21.99,overcast clouds
182,skelleftea,SE,64.7507,20.9528,50.36,67,78,3.44,broken clouds
183,la palma,US,33.8464,-118.0467,93.92,65,0,12.66,clear sky
184,gat,IL,31.61,34.7642,74.08,100,43,10.36,scattered clouds
185,qaanaaq,GL,77.484,-69.3632,28.81,73,6,7.78,clear sky
186,clyde river,CA,70.4692,-68.5914,37.63,65,100,5.75,overcast clouds
187,golfito,CR,8.639,-83.166,72.73,96,100,3.29,overcast clouds
188,vrede,ZA,-27.4257,29.1659,39.81,51,1,3.06,clear sky
189,kirishi,RU,59.4471,32.0205,53.29,95,98,2.86,overcast clouds
190,leeton,AU,-34.5667,146.4,46.89,100,100,1.14,overcast clouds
191,beringovskiy,RU,63.05,179.3167,44.02,53,70,2.98,broken clouds
192,airai,TL,-8.9266,125.4092,62.73,68,92,3.71,overcast clouds
193,nandu,CN,22.8525,110.8233,79.48,94,100,2.98,overcast clouds
194,acapulco,MX,16.8634,-99.8901,85.82,70,75,8.05,smoke
195,grand-santi,GF,4.25,-54.3833,72.54,99,46,2.35,moderate rain
196,libertador general san martin,AR,-23.8064,-64.7876,50.97,75,0,3.36,clear sky
197,alyangula,AU,-13.8483,136.4192,76.48,56,37,16.11,scattered clouds
198,vila franca do campo,PT,37.7167,-25.4333,64.2,86,41,4.14,scattered clouds
199,port-gentil,GA,-0.7193,8.7815,76.96,94,40,3.44,scattered clouds
200,nouadhibou,MR,20.931,-17.0347,67.98,88,0,20.71,clear sky
201,beyneu,KZ,45.3167,55.2,74.59,39,15,4.79,few clouds
202,saskylakh,RU,71.9167,114.0833,65.39,38,8,7.45,clear sky
203,kahului,US,20.8947,-156.47,84.97,72,40,25.32,scattered clouds
204,opuwo,NA,-18.0607,13.84,54.61,55,0,2.53,clear sky
205,isangel,VU,-19.55,169.2667,84.31,84,75,4.61,broken clouds
206,progreso,MX,21.2833,-89.6667,84.11,82,54,15.08,broken clouds
207,borba,BR,-4.3878,-59.5939,71.67,99,91,1.99,heavy intensity rain
208,udachnyy,RU,66.4167,112.4,63.23,35,29,13.35,scattered clouds
209,sitka,US,57.0531,-135.33,51.69,76,100,4.61,overcast clouds
210,hrodna,BY,53.6884,23.8258,56.41,83,83,1.12,broken clouds
211,mahibadhoo,MV,3.7833,72.9667,83.16,73,100,7.78,overcast clouds
212,yerbogachen,RU,61.2767,108.0108,59.18,53,100,4.07,overcast clouds
213,avera,US,33.194,-82.5271,91.45,50,79,5.99,broken clouds
214,high level,CA,58.5169,-117.136,69.91,28,40,4.61,scattered clouds
215,faya,SA,18.3851,42.4509,68.52,20,2,1.83,clear sky
216,pandan,PH,14.0453,124.1694,84.85,73,83,5.7,broken clouds
217,longyearbyen,SJ,78.2186,15.6401,39.04,87,100,3.44,overcast clouds
218,tonder,DK,54.9331,8.8667,55.96,78,37,10.13,scattered clouds
219,sola,VU,-13.8833,167.55,80.49,78,35,11.34,scattered clouds
220,yavatmal,IN,20.4,78.1333,84.72,56,98,9.66,overcast clouds
221,chicla,PE,-11.705,-76.2686,41.97,77,46,1.59,scattered clouds
222,ilulissat,GL,69.2167,-51.1,33.82,80,100,12.66,overcast clouds
223,shimanovsk,RU,52.0,127.7,68.76,63,100,3.91,overcast clouds
224,kyren,RU,51.6828,102.1408,68.14,47,75,0.92,broken clouds
225,kudahuvadhoo,MV,2.6708,72.8944,83.26,71,100,7.74,overcast clouds
226,maragogi,BR,-9.0122,-35.2225,76.01,85,10,4.76,clear sky
227,codrington,AU,-38.2667,141.9667,54.86,78,99,3.58,overcast clouds
228,san vicente de canete,PE,-13.0751,-76.3835,62.46,85,15,6.53,few clouds
229,ust-kan,RU,50.9276,84.761,57.47,94,89,3.89,light rain
230,san isidro,PE,-12.1167,-77.05,64.02,80,100,12.66,overcast clouds
231,castro,BR,-24.7911,-50.0119,39.97,66,0,3.38,clear sky
232,teknaf,BD,20.8624,92.3058,79.95,89,58,5.17,broken clouds
233,pucallpa,PE,-8.3791,-74.5539,77.04,57,20,3.44,few clouds
234,carnduff,CA,49.1667,-101.8009,75.38,61,87,4.0,overcast clouds
235,ouango,CF,4.3133,22.5552,69.78,99,91,2.66,light rain
236,camden,US,39.7835,-74.9663,76.05,81,69,1.01,broken clouds
237,kimberley,ZA,-28.7323,24.7623,47.89,57,96,8.05,overcast clouds
238,souillac,MU,-20.5167,57.5167,70.18,94,75,20.71,light rain
239,lavrentiya,RU,65.5833,-171.0,40.84,61,99,2.64,overcast clouds
240,huangchuan,CN,32.1272,115.0394,75.69,69,98,5.32,overcast clouds
241,saint pete beach,US,27.7253,-82.7412,86.2,66,20,11.5,few clouds
242,ostrovnoy,RU,68.0531,39.5131,52.7,85,100,8.41,overcast clouds
243,el alto,PE,-4.2714,-81.2147,62.26,85,89,17.2,overcast clouds
244,thompson,CA,55.7435,-97.8558,75.36,35,75,12.66,broken clouds
245,berlevag,NO,70.8578,29.0864,44.55,70,100,27.63,overcast clouds
246,bougouni,ML,11.417,-7.479,81.39,64,73,6.93,broken clouds
247,leningradskiy,RU,69.3833,178.4167,36.03,80,100,11.01,overcast clouds
248,namatanai,PG,-3.6667,152.4333,84.36,65,38,9.46,scattered clouds
