City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
128,Kidal,ML,2022-06-07 20:17:36,18.4411,1.4078,97.02,12,45,6.76
129,Xapuri,BR,2022-06-07 20:17:37,-10.6517,-68.5044,82.98,65,100,1.34
130,Ziyang,CN,2022-06-07 20:17:37,29.2497,117.8547,68.38,87,55,4.72
131,Kutum,SD,2022-06-07 20:17:37,14.2,24.6667,82.89,14,38,12.8
132,Palmer,US,2022-06-07 20:13:25,42.1584,-72.3287,78.4,50,75,19.57
133,Kostomuksha,RU,2022-06-07 20:17:38,64.571,30.5767,48.27,55,1,6.4
134,High Level,CA,2022-06-07 20:15:23,58.5169,-117.136,75.31,35,75,8.05
135,Georgetown,MY,2022-06-07 20:17:25,5.4112,100.3354,80.53,92,20,2.3
136,Puerto Suarez,BO,2022-06-07 20:18:39,-18.95,-57.8,95.36,49,20,4.61
137,Mentana,IT,2022-06-07 20:18:39,42.0349,12.6424,74.52,71,0,0.92
138,Hilo,US,2022-06-07 20:15:50,19.7297,-155.09,90.28,67,0,10.0
139,Mount Gambier,AU,2022-06-07 20:18:40,-37.8333,140.7667,46.78,78,70,6.31
140,Wageningen,NL,2022-06-07 20:18:40,51.9667,5.6667,61.95,77,75,2.3
141,Murray Bridge,AU,2022-06-07 20:18:40,-35.1167,139.2667,49.12,75,92,7.72
142,Castro,BR,2022-06-07 20:14:56,-24.7911,-50.0119,57.99,98,100,3.38
143,El Guamo,CO,2022-06-07 20:18:41,10.0316,-74.9761,83.37,78,91,9.35
144,Nioro,GM,2022-06-07 20:18:41,13.35,-15.75,86.14,53,57,13.8
145,Cherskiy,RU,2022-06-07 20:18:41,68.75,161.3,44.69,58,98,9.19
146,Boyolangu,ID,2022-06-07 20:18:42,-8.1181,111.8935,75.2,91,98,3.44
147,Inhambane,MZ,2022-06-07 20:18:42,-23.865,35.3833,69.94,62,51,10.49
148,Pitimbu,BR,2022-06-07 20:18:42,-7.4706,-34.8086,79.39,81,86,9.28
149,Khatanga,RU,2022-06-07 20:18:43,71.9667,102.5,47.34,65,97,6.04
150,Samana,DO,2022-06-07 20:18:43,19.2056,-69.3369,91.62,62,20,11.5
151,Coquimbo,CL,2022-06-07 20:18:43,-29.9533,-71.3436,58.73,77,0,12.66
152,Port-Gentil,GA,2022-06-07 20:18:44,-0.7193,8.7815,76.66,88,99,11.14
153,Nchelenge,ZM,2022-06-07 20:18:44,-9.3451,28.734,64.62,59,10,6.26
154,Tukrah,LY,2022-06-07 20:18:45,32.5341,20.5791,73.65,86,0,2.84
155,Chernitsyno,RU,2022-06-07 20:18:45,51.5074,36.051,56.68,79,36,2.51
156,Comodoro Rivadavia,AR,2022-06-07 20:18:45,-45.8667,-67.5,53.46,47,0,19.57
157,Anadyr,RU,2022-06-07 20:18:46,64.75,177.4833,46.9,70,0,11.18
158,Dikson,RU,2022-06-07 20:18:46,73.5069,80.5464,22.91,95,11,5.17
159,Hami,CN,2022-06-07 20:18:46,42.8,93.45,73.11,19,83,17.76
160,Santa Helena,BR,2022-06-07 20:18:47,-2.2311,-45.3,77.14,88,100,1.59
161,Kamaishi,JP,2022-06-07 20:18:47,39.2667,141.8833,51.22,91,100,7.96
162,Nanortalik,GL,2022-06-07 20:18:47,60.1432,-45.2371,41.49,82,95,6.93
163,Puerto Madero,MX,2022-06-07 20:18:48,14.7208,-92.4215,79.0,100,75,0.0
164,Cockburn Town,TC,2022-06-07 20:18:48,21.4612,-71.1419,85.96,70,75,11.5
165,Mandera,KE,2022-06-07 20:18:49,3.9366,41.867,78.71,60,99,9.69
166,Boissevain,CA,2022-06-07 20:18:49,49.2306,-100.0559,68.65,53,100,2.82
167,Uyuni,BO,2022-06-07 20:18:49,-20.4597,-66.825,48.22,13,0,17.58
168,Tamandare,BR,2022-06-07 20:18:50,-8.7597,-35.1047,76.08,86,69,5.39
169,Isoka,ZM,2022-06-07 20:18:50,-10.1606,32.6335,53.65,83,50,4.56
170,Kruisfontein,ZA,2022-06-07 20:18:50,-34.0033,24.7314,60.76,37,0,5.91
171,Rio Gallegos,AR,2022-06-07 20:16:54,-51.6226,-69.2181,44.65,53,0,9.22
172,Sudogda,RU,2022-06-07 20:18:51,55.9539,40.8629,50.09,76,19,4.81
173,Bedesa,ET,2022-06-07 20:18:51,8.9,40.7833,59.99,93,93,5.23
174,Vestmannaeyjar,IS,2022-06-07 20:18:52,63.4427,-20.2734,50.36,87,100,22.39
175,Kontagora,NG,2022-06-07 20:18:52,10.3999,5.4695,83.48,47,33,2.17
176,Portland,US,2022-06-07 20:14:46,45.5234,-122.6762,78.62,47,75,6.91
177,Lieksa,FI,2022-06-07 20:18:52,63.3167,30.0167,52.2,73,12,5.37
178,Clyde River,CA,2022-06-07 20:18:53,70.4692,-68.5914,42.78,67,36,2.77
179,Eureka,US,2022-06-07 20:18:53,40.8021,-124.1637,80.74,76,100,4.0
180,Ormara,PK,2022-06-07 20:18:53,25.2088,64.6357,81.52,86,3,18.52
181,Algiers,DZ,2022-06-07 20:14:11,36.7525,3.042,73.22,73,40,6.91
182,Kralendijk,BQ,2022-06-07 20:18:19,12.15,-68.2667,85.98,70,75,20.71
