City_ID,City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
140,397,conceicao do araguaia,BR,79.5,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
141,399,port blair,IN,77.04,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
142,403,dawei,MM,79.0,overcast clouds,14.0833,98.2,Hotel Dawei
143,406,nabire,ID,80.15,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
144,407,aden,YE,87.85,scattered clouds,12.7794,45.0367,Sama Emirate Hotel
145,408,tiarei,PF,86.02,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
146,409,the pas,CA,73.42,scattered clouds,53.8251,-101.2541,Wescana Inn
147,414,garoua,CM,77.34,overcast clouds,9.3,13.4,Dreamland Hotel Annexe Bockle
148,417,praia,CV,75.74,few clouds,14.9215,-23.5087,LT Aparthotel
149,423,sanming,CN,74.68,light rain,26.2486,117.6186,Sanming Huangting Lijing Hotel
150,424,badarganj,BD,79.5,overcast clouds,25.674,89.0549,Raushon
151,425,pingyi,CN,74.79,few clouds,35.5006,117.6308,Yiranju Hotel
152,429,atambua,ID,74.73,broken clouds,-9.1061,124.8925,Kost Alfa Flat
153,434,vila do maio,CV,75.99,clear sky,15.1333,-23.2167,Hotel Marilu
154,438,harper,LR,77.49,overcast clouds,4.375,-7.7169,Screensaver
155,441,healdsburg,US,77.34,broken clouds,38.6105,-122.8692,Best Western Dry Creek Inn
156,442,samarai,PG,82.83,scattered clouds,-10.6167,150.6667,Nuli Sapi
157,444,odweyne,SO,74.86,broken clouds,9.4092,45.064,Eng Hiirey House
158,447,half moon bay,US,75.11,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
159,448,lapeer,US,76.78,broken clouds,43.0514,-83.3188,"Holiday Inn Express Lapeer, an IHG Hotel"
160,453,katobu,ID,75.81,overcast clouds,-4.9408,122.5276,La Ode Husein
161,454,uthal,PK,82.74,scattered clouds,25.8072,66.6219,Al-Mustafa Hotel
162,467,touros,BR,76.57,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
163,468,tarboro,US,75.58,heavy intensity rain,35.8968,-77.5358,SureStay Plus Hotel Tarboro by Best Western
164,472,purwodadi,ID,77.14,overcast clouds,-7.0868,110.9158,OYO 1620 Sion Family Residence
166,475,yen bai,VN,79.81,light rain,21.7,104.8667,AK MOTEL
167,476,urumqi,CN,81.55,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
168,478,jalingo,NG,75.4,overcast clouds,8.8833,11.3667,Debright Motel
169,480,tshikapa,CD,75.45,broken clouds,-6.4167,20.8,Tatem beach
170,482,batticaloa,LK,80.1,overcast clouds,7.7102,81.6924,Grand Star Guest House
171,483,santa rosa,PH,86.11,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
172,487,fort-shevchenko,KZ,74.86,overcast clouds,44.5086,50.263,Oasis hotel Bautino
173,490,ambon,ID,80.74,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
174,491,gondanglegi,ID,77.43,overcast clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
175,492,kieta,PG,84.65,light rain,-6.2167,155.6333,Uruna Bay Retreat
176,495,magan,ES,84.29,few clouds,39.9683,-3.931,Hotel Pattaya
177,497,kelowna,CA,78.46,clear sky,49.8831,-119.4857,Delta Hotels by Marriott Grand Okanagan Resort
178,506,valdez,EC,78.15,broken clouds,1.2492,-78.9831,Casa Alquiler Doña Yenner y Don Wacho
179,507,soure,BR,79.21,few clouds,-0.7167,-48.5233,Casarão da Amazônia
180,508,forio,IT,74.52,clear sky,40.7342,13.8646,Hotel Terme Providence
